!	 	 	Ambt_to_Room1	Ambt_to_Room4	Corridor_to_Room1	Corridor_to_Room4	Ambt_to_Room2	Ambt_to_Room5	Corridor_to_Room2	Corridor_to_Room5	Corridor_to_Room3	Corridor_to_Room6	Ambt_to_Room3	Ambt_to_Room6
!Date	Time	[s]	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h	sm^3/h
9/29	10:03:00	36180	1.061618e+00	8.584075e+00	3.804642e+00	-4.173550e+00	-3.875887e+00	4.877647e+00	3.940027e+00	-4.060955e+00	4.075633e+00	-3.912167e+00	-9.006135e+00	-1.314976e+00
9/29	10:04:00	36240	1.070145e+00	8.653426e+00	3.835339e+00	-4.207225e+00	-3.907128e+00	4.916961e+00	3.971814e+00	-4.093718e+00	4.108513e+00	-3.943727e+00	-9.078784e+00	-1.325643e+00
9/29	10:05:00	36300	1.078686e+00	8.722896e+00	3.866087e+00	-4.240957e+00	-3.938421e+00	4.956340e+00	4.003654e+00	-4.126536e+00	4.141450e+00	-3.975340e+00	-9.151557e+00	-1.336329e+00
9/29	10:06:00	36360	1.087240e+00	8.792481e+00	3.896886e+00	-4.274744e+00	-3.969765e+00	4.995784e+00	4.035547e+00	-4.159408e+00	4.174440e+00	-4.007005e+00	-9.224449e+00	-1.347035e+00
9/29	10:07:00	36420	1.095809e+00	8.862184e+00	3.927735e+00	-4.308587e+00	-4.001161e+00	5.035293e+00	4.067493e+00	-4.192334e+00	4.207485e+00	-4.038722e+00	-9.297462e+00	-1.357758e+00
9/29	10:08:00	36480	1.104390e+00	8.932001e+00	3.958636e+00	-4.342485e+00	-4.032608e+00	5.074865e+00	4.099491e+00	-4.225315e+00	4.240584e+00	-4.070491e+00	-9.370594e+00	-1.368500e+00
9/29	10:09:00	36540	1.112985e+00	9.001933e+00	3.989586e+00	-4.376439e+00	-4.064106e+00	5.114502e+00	4.131542e+00	-4.258348e+00	4.273737e+00	-4.102312e+00	-9.443845e+00	-1.379260e+00
9/29	10:10:00	36600	1.121594e+00	9.071980e+00	4.020587e+00	-4.410448e+00	-4.095653e+00	5.154202e+00	4.163643e+00	-4.291436e+00	4.306944e+00	-4.134184e+00	-9.517215e+00	-1.390038e+00
9/29	10:11:00	36660	1.130215e+00	9.142140e+00	4.051637e+00	-4.444511e+00	-4.127251e+00	5.193965e+00	4.195797e+00	-4.324576e+00	4.340203e+00	-4.166108e+00	-9.590701e+00	-1.400835e+00
9/29	10:12:00	36720	1.138850e+00	9.212414e+00	4.082737e+00	-4.478629e+00	-4.158899e+00	5.233791e+00	4.228002e+00	-4.357769e+00	4.373516e+00	-4.198082e+00	-9.664305e+00	-1.411650e+00
9/29	10:13:00	36780	1.147498e+00	9.282801e+00	4.113886e+00	-4.512801e+00	-4.190597e+00	5.273680e+00	4.260257e+00	-4.391016e+00	4.406882e+00	-4.230107e+00	-9.738025e+00	-1.422482e+00
9/29	10:14:00	36840	1.156160e+00	9.353299e+00	4.145084e+00	-4.547027e+00	-4.222344e+00	5.313632e+00	4.292564e+00	-4.424314e+00	4.440300e+00	-4.262182e+00	-9.811862e+00	-1.433333e+00
9/29	10:15:00	36900	1.164833e+00	9.423909e+00	4.176331e+00	-4.581306e+00	-4.254141e+00	5.353644e+00	4.324921e+00	-4.457664e+00	4.473770e+00	-4.294307e+00	-9.885813e+00	-1.444201e+00
9/29	10:16:00	36960	1.173521e+00	9.494630e+00	4.207626e+00	-4.615637e+00	-4.285985e+00	5.393718e+00	4.357328e+00	-4.491066e+00	4.507292e+00	-4.326482e+00	-9.959878e+00	-1.455087e+00
9/29	10:17:00	37020	1.182221e+00	9.565463e+00	4.238971e+00	-4.650023e+00	-4.317881e+00	5.433855e+00	4.389786e+00	-4.524519e+00	4.540866e+00	-4.358708e+00	-1.003406e+01	-1.465991e+00
9/29	10:18:00	37080	1.190933e+00	9.636404e+00	4.270362e+00	-4.684461e+00	-4.349823e+00	5.474051e+00	4.422293e+00	-4.558024e+00	4.574492e+00	-4.390982e+00	-1.010835e+01	-1.476912e+00
9/29	10:19:00	37140	1.199659e+00	9.707455e+00	4.301802e+00	-4.718952e+00	-4.381814e+00	5.514307e+00	4.454849e+00	-4.591579e+00	4.608168e+00	-4.423305e+00	-1.018276e+01	-1.487851e+00
9/29	10:20:00	37200	1.208397e+00	9.778615e+00	4.333289e+00	-4.753495e+00	-4.413853e+00	5.554626e+00	4.487454e+00	-4.625186e+00	4.641895e+00	-4.455677e+00	-1.025728e+01	-1.498807e+00
9/29	10:21:00	37260	1.217148e+00	9.849883e+00	4.364823e+00	-4.788089e+00	-4.445939e+00	5.595003e+00	4.520109e+00	-4.658843e+00	4.675673e+00	-4.488097e+00	-1.033191e+01	-1.509780e+00
9/29	10:22:00	37320	1.225911e+00	9.921259e+00	4.396405e+00	-4.822736e+00	-4.478072e+00	5.635440e+00	4.552812e+00	-4.692549e+00	4.709502e+00	-4.520566e+00	-1.040665e+01	-1.520771e+00
9/29	10:23:00	37380	1.234687e+00	9.992741e+00	4.428033e+00	-4.857433e+00	-4.510253e+00	5.675936e+00	4.585563e+00	-4.726306e+00	4.743380e+00	-4.553082e+00	-1.048150e+01	-1.531779e+00
9/29	10:24:00	37440	1.243474e+00	1.006433e+01	4.459708e+00	-4.892182e+00	-4.542481e+00	5.716492e+00	4.618363e+00	-4.760113e+00	4.777308e+00	-4.585648e+00	-1.055647e+01	-1.542803e+00
9/29	10:25:00	37500	1.252275e+00	1.013603e+01	4.491429e+00	-4.926982e+00	-4.574756e+00	5.757107e+00	4.651211e+00	-4.793970e+00	4.811286e+00	-4.618260e+00	-1.063154e+01	-1.553846e+00
9/29	10:26:00	37560	1.261087e+00	1.020783e+01	4.523197e+00	-4.961833e+00	-4.607078e+00	5.797780e+00	4.684107e+00	-4.827875e+00	4.845314e+00	-4.650919e+00	-1.070672e+01	-1.564905e+00
9/29	10:27:00	37620	1.269912e+00	1.027973e+01	4.555010e+00	-4.996734e+00	-4.639445e+00	5.838511e+00	4.717050e+00	-4.861829e+00	4.879391e+00	-4.683627e+00	-1.078201e+01	-1.575980e+00
9/29	10:28:00	37680	1.278749e+00	1.035175e+01	4.586870e+00	-5.031685e+00	-4.671859e+00	5.879301e+00	4.750041e+00	-4.895833e+00	4.913517e+00	-4.716381e+00	-1.085741e+01	-1.587072e+00
9/29	10:29:00	37740	1.287598e+00	1.042386e+01	4.618774e+00	-5.066686e+00	-4.704319e+00	5.920148e+00	4.783079e+00	-4.929884e+00	4.947690e+00	-4.749181e+00	-1.093292e+01	-1.598181e+00
9/29	10:30:00	37800	1.296459e+00	1.049608e+01	4.650724e+00	-5.101737e+00	-4.736824e+00	5.961052e+00	4.816164e+00	-4.963985e+00	4.981914e+00	-4.782028e+00	-1.100853e+01	-1.609308e+00
9/29	10:31:00	37860	5.090461e-02	1.202141e+01	-4.640786e-02	-1.200959e+01	-5.385371e+00	6.585208e+00	5.395355e+00	-6.590679e+00	1.240679e+01	4.445148e-01	-1.242136e+01	-4.508518e-01
9/29	10:32:00	37920	5.136997e-02	1.210361e+01	-4.681205e-02	-1.209149e+01	-5.422156e+00	6.630156e+00	5.432299e+00	-6.635643e+00	1.249137e+01	4.476152e-01	-1.250628e+01	-4.540379e-01
9/29	10:33:00	37980	5.183740e-02	1.218592e+01	-4.721713e-02	-1.217364e+01	-5.458991e+00	6.675164e+00	5.469274e+00	-6.680728e+00	1.257620e+01	4.507199e-01	-1.259131e+01	-4.572296e-01
9/29	10:34:00	38040	5.230658e-02	1.226834e+01	-4.762386e-02	-1.225589e+01	-5.495876e+00	6.720233e+00	5.506299e+00	-6.725875e+00	1.266115e+01	4.538297e-01	-1.267646e+01	-4.604268e-01
9/29	10:35:00	38100	5.277785e-02	1.235088e+01	-4.803201e-02	-1.233826e+01	-5.532812e+00	6.765363e+00	5.543376e+00	-6.771082e+00	1.274621e+01	4.569441e-01	-1.276173e+01	-4.636297e-01
9/29	10:36:00	38160	5.325190e-02	1.243353e+01	-4.844214e-02	-1.242075e+01	-5.569797e+00	6.810553e+00	5.580504e+00	-6.816351e+00	1.283139e+01	4.600641e-01	-1.284711e+01	-4.668387e-01
9/29	10:37:00	38220	5.372735e-02	1.251629e+01	-4.885337e-02	-1.250334e+01	-5.606832e+00	6.855803e+00	5.617682e+00	-6.861681e+00	1.291668e+01	4.631884e-01	-1.293261e+01	-4.700527e-01
9/29	10:38:00	38280	5.420523e-02	1.259916e+01	-4.926646e-02	-1.258604e+01	-5.643916e+00	6.901114e+00	5.654911e+00	-6.907071e+00	1.300209e+01	4.663179e-01	-1.301822e+01	-4.732729e-01
9/29	10:39:00	38340	5.468450e-02	1.268214e+01	-4.968066e-02	-1.266885e+01	-5.681049e+00	6.946484e+00	5.692190e+00	-6.952521e+00	1.308761e+01	4.694518e-01	-1.310395e+01	-4.764973e-01
9/29	10:40:00	38400	5.516656e-02	1.276523e+01	-5.009674e-02	-1.275177e+01	-5.718231e+00	6.991912e+00	5.729519e+00	-6.998032e+00	1.317323e+01	4.725908e-01	-1.318979e+01	-4.797286e-01
9/29	10:41:00	38460	5.565036e-02	1.284844e+01	-5.051405e-02	-1.283480e+01	-5.755462e+00	7.037401e+00	5.766898e+00	-7.043602e+00	1.325898e+01	4.757344e-01	-1.327575e+01	-4.829649e-01
9/29	10:42:00	38520	5.613625e-02	1.293175e+01	-5.093351e-02	-1.291793e+01	-5.792741e+00	7.082947e+00	5.804326e+00	-7.089231e+00	1.334483e+01	4.788835e-01	-1.336181e+01	-4.862067e-01
9/29	10:43:00	38580	5.662457e-02	1.301517e+01	-5.135398e-02	-1.300118e+01	-5.830069e+00	7.128554e+00	5.841805e+00	-7.134921e+00	1.343079e+01	4.820366e-01	-1.344799e+01	-4.894540e-01
9/29	10:44:00	38640	5.711393e-02	1.309870e+01	-5.177613e-02	-1.308453e+01	-5.867444e+00	7.174217e+00	5.879331e+00	-7.180667e+00	1.351686e+01	4.851947e-01	-1.353428e+01	-4.927070e-01
9/29	10:45:00	38700	5.760609e-02	1.318233e+01	-5.219968e-02	-1.316798e+01	-5.904867e+00	7.219939e+00	5.916907e+00	-7.226474e+00	1.360304e+01	4.883575e-01	-1.362069e+01	-4.959655e-01
